N;Absolute date/time;Input_A [V];Input_B [V]
1;29:59,6;6,81;0,351
2;29:59,6;6,9;0,673
3;29:59,6;7;1,087
4;29:59,6;7,1;1,009
5;29:59,6;7,16;0,584
6;29:59,6;7,27;0,463
7;29:59,6;7,4;0,773
8;29:59,6;7,48;1,287
9;29:59,6;7,57;1,382
10;29:59,6;7,67;0,878
11;29:59,6;7,77;0,536
12;29:59,6;0,02;-2,00E-03
13;29:59,6;0,03;-4,00E-03
14;29:59,6;0,02;-3,00E-03
15;29:59,6;0,02;-3,00E-03
16;29:59,6;0,03;-3,00E-03
17;29:59,6;0,02;-3,00E-03
18;29:59,6;0,03;-6,00E-03
19;29:59,6;0,04;-3,00E-03
20;29:59,6;0,02;-3,00E-03
21;29:59,6;0,03;-1,00E-03
22;29:59,6;0,03;-3,00E-03
23;29:59,6;0,03;-1,00E-03
24;29:59,6;0,02;-3,00E-03
25;29:59,6;0,02;-3,00E-03
26;29:59,6;0,03;-3,00E-03
27;29:59,6;0,03;-2,00E-03
28;29:59,6;0,01;-4,00E-03
29;29:59,6;0,03;-3,00E-03
30;29:59,6;0,03;-2,00E-03
31;29:59,6;0,03;-3,00E-03
32;29:59,6;0,17;-0,21
33;29:59,6;0,26;-0,208
34;29:59,6;0,37;-0,21
35;29:59,6;0,45;-0,209
36;29:59,6;0,55;-0,184
37;29:59,6;0,65;-0,157
38;29:59,6;0,73;-0,152
39;29:59,6;0,85;-0,143
40;29:59,6;0,94;-0,128
41;29:59,6;1,04;-0,145
42;29:59,6;1,12;-0,135
43;29:59,6;1,24;-0,135
44;29:59,6;1,33;-0,147
45;29:59,6;1,43;-0,135
46;29:59,6;1,53;-0,144
47;29:59,6;1,62;-0,147
48;29:59,6;1,69;-0,141
49;29:59,6;1,81;-0,152
50;29:59,6;1,91;-0,17
51;29:59,6;1,99;-0,192
52;29:59,6;2,1;-0,203
53;29:59,6;2,19;-0,202
54;29:59,6;2,28;-0,202
55;29:59,6;2,39;-0,205
56;29:59,6;2,5;-0,229
57;29:59,6;2,58;-0,251
58;29:59,6;2,66;-0,251
59;29:59,6;2,74;-0,262
60;29:59,6;2,86;-0,278
61;29:59,6;2,96;-0,257
62;29:59,6;3,06;-0,255
63;29:59,6;3,17;-0,242
64;29:59,6;3,25;-0,23
65;29:59,6;3,34;-0,252
66;29:59,6;3,45;-0,231
67;29:59,6;3,55;-0,192
68;29:59,6;3,65;-0,166
69;29:59,6;3,73;-0,183
70;29:59,6;3,83;-0,186
71;29:59,6;3,9;-0,145
72;29:59,6;4,03;-0,07
73;29:59,6;4,13;-0,018
74;29:59,6;4,22;-0,082
75;29:59,6;4,31;-0,112
76;29:59,6;4,4;-0,05
77;29:59,6;4,49;0,077
78;29:59,6;4,59;0,154
79;29:59,6;4,69;0,066
80;29:59,6;4,79;7,00E-03
81;29:59,6;4,89;0,049
82;29:59,6;4,97;0,202
83;29:59,6;5,07;0,308
84;29:59,6;5,16;0,151
85;29:59,6;5,27;0,05
86;29:59,6;5,37;0,108
87;29:59,6;5,47;0,299
88;29:59,6;5,55;0,464
89;29:59,6;5,65;0,288
90;29:59,6;5,75;0,082
91;29:59,6;5,83;0,138
92;29:59,6;5,95;0,36
93;29:59,6;6,03;0,596
94;29:59,6;6,11;0,415
95;29:59,6;6,23;0,147
96;29:59,6;6,33;0,161
97;29:59,6;6,47;0,415
98;29:59,6;6,52;0,732
99;29:59,6;6,61;0,589
100;29:59,6;6,72;0,218
101;29:59,6;6,81;0,205
102;29:59,6;6,9;0,503
103;29:59,6;7;0,926
104;29:59,6;7,09;0,906
105;29:59,6;7,17;0,448
106;29:59,6;7,27;0,326
107;29:59,6;7,37;0,633
108;29:59,6;7,47;1,141
109;29:59,6;7,58;1,282
110;29:59,6;7,67;0,825
111;29:59,6;7,74;0,553
112;29:59,6;0,03;-1,00E-03
113;29:59,6;0,02;-2,00E-03
114;29:59,6;0,02;-4,00E-03
115;29:59,6;0,03;-3,00E-03
116;29:59,6;0,03;-3,00E-03
117;29:59,6;0,01;-2,00E-03
118;29:59,6;0,02;-3,00E-03
119;29:59,6;0,03;-2,00E-03
120;29:59,6;0,03;-4,00E-03
121;29:59,6;0,02;-2,00E-03
122;29:59,6;0,04;-1,00E-03
123;29:59,6;0,03;-3,00E-03
124;29:59,6;0,03;-3,00E-03
125;29:59,6;0,04;-3,00E-03
126;29:59,6;0,02;-2,00E-03
127;29:59,6;0,01;-3,00E-03
128;29:59,6;0,03;-3,00E-03
