N;Absolute date/time;Input_A [V];Input_B [V]
1;47:26,7;6,82;7,46
2;47:26,7;6,89;8,01
3;47:26,7;6,99;8,46
4;47:26,7;7,09;9,14
5;47:26,7;7,2;9,73
6;47:26,7;7,27;10,41
7;47:26,7;7,37;11,05
8;47:26,7;7,47;11,73
9;47:26,7;7,58;12,38
10;47:26,7;7,65;13,03
11;47:26,7;7,77;13,31
12;47:26,7;0,03;-0,01
13;47:26,7;0,02;0,01
14;47:26,7;0,03;-0,05
15;47:26,7;0,03;0,01
16;47:26,7;0,02;-0,01
17;47:26,7;0,02;0,01
18;47:26,7;0,03;0,02
19;47:26,7;0,02;0,01
20;47:26,7;0,02;-0,01
21;47:26,7;0,02;-0,01
22;47:26,7;0,02;0,01
23;47:26,7;0,03;-0,01
24;47:26,7;0,02;-0,01
25;47:26,7;0,03;0,01
26;47:26,7;0,04;0,01
27;47:26,7;0,03;0,01
28;47:26,7;0,03;-0,01
29;47:26,7;0,02;0,01
30;47:26,7;0,03;0,02
31;47:26,7;0,03;0,01
32;47:26,7;0,17;-0,08
33;47:26,7;0,24;-0,08
34;47:26,7;0,35;-0,07
35;47:26,7;0,46;-0,07
36;47:26,7;0,55;-0,08
37;47:26,7;0,65;-0,08
38;47:26,7;0,73;-0,07
39;47:26,7;0,83;-0,07
40;47:26,7;0,93;-0,08
41;47:26,7;1,01;-0,04
42;47:26,7;1,12;0,15
43;47:26,7;1,22;0,28
44;47:26,7;1,31;0,38
45;47:26,7;1,42;0,44
46;47:26,7;1,51;0,56
47;47:26,7;1,6;0,69
48;47:26,7;1,71;0,79
49;47:26,7;1,8;0,85
50;47:26,7;1,9;0,88
51;47:26,7;1,99;0,83
52;47:26,7;2,08;0,67
53;47:26,7;2,18;0,47
54;47:26,7;2,27;0,3
55;47:26,7;2,38;0,2
56;47:26,7;2,48;0,06
57;47:26,7;2,56;-0,09
58;47:26,7;2,64;-0,26
59;47:26,7;2,76;0,12
60;47:26,7;2,86;0,6
61;47:26,7;2,96;1,16
62;47:26,7;3,04;1,76
63;47:26,7;3,14;2,45
64;47:26,7;3,24;3,18
65;47:26,7;3,34;3,94
66;47:26,7;3,44;4,59
67;47:26,7;3,53;5,2
68;47:26,7;3,63;5,54
69;47:26,7;3,73;5,6
70;47:26,7;3,82;5,33
71;47:26,7;3,9;4,9
72;47:26,7;4,03;4,43
73;47:26,7;4,11;3,73
74;47:26,7;4,2;2,82
75;47:26,7;4,29;1,98
76;47:26,7;4,4;1,44
77;47:26,7;4,49;1,44
78;47:26,7;4,58;1,46
79;47:26,7;4,67;1,84
80;47:26,7;4,78;2,29
81;47:26,7;4,88;2,97
82;47:26,7;4,97;3,75
83;47:26,7;5,06;4,65
84;47:26,7;5,17;5,61
85;47:26,7;5,26;6,26
86;47:26,7;5,35;6,9
87;47:26,7;5,44;7,29
88;47:26,7;5,54;7,59
89;47:26,7;5,65;7,75
90;47:26,7;5,75;7,73
91;47:26,7;5,85;7,59
92;47:26,7;5,93;7,37
93;47:26,7;6,04;7,08
94;47:26,7;6,13;6,85
95;47:26,7;6,23;6,65
96;47:26,7;6,31;6,54
97;47:26,7;6,41;6,49
98;47:26,7;6,51;6,56
99;47:26,7;6,61;6,74
100;47:26,7;6,7;7,03
101;47:26,7;6,79;7,45
102;47:26,7;6,89;7,98
103;47:26,7;6,99;8,45
104;47:26,7;7,08;9,14
105;47:26,7;7,16;9,69
106;47:26,7;7,27;10,4
107;47:26,7;7,38;11,05
108;47:26,7;7,48;11,73
109;47:26,7;7,57;12,35
110;47:26,7;7,67;13,02
111;47:26,7;7,78;13,33
112;47:26,7;0,03;-0,01
113;47:26,7;0,03;0,01
114;47:26,7;0,02;0,01
115;47:26,7;0,03;-0,01
116;47:26,7;0,03;0,01
117;47:26,7;0,03;-0,01
118;47:26,7;0,01;0,01
119;47:26,7;0,02;0,01
120;47:26,7;0,03;0,01
121;47:26,7;0,03;-0,01
122;47:26,7;0,02;-0,01
123;47:26,7;0,02;0,01
124;47:26,7;0,04;0,01
125;47:26,7;0,03;0,02
126;47:26,7;0,03;0,01
127;47:26,7;0,03;-0,01
128;47:26,7;0,02;0,01
