Start Time, Sat Nov 22 10:09:10 GMT+0100 2014
Energy calibration,  Offset: 0, Slope: 0.43199265003204346, Quadratic: 0
Live Time (s), 596.30936
Real Time (s), 600
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.43199265003204346, 0
2, 0.8639853000640869, 0
3, 1.2959779500961304, 0
4, 1.7279706001281738, 0
5, 2.1599632501602173, 0
6, 2.5919559001922607, 0
7, 3.023948550224304, 1
8, 3.4559412002563477, 66
9, 3.887933850288391, 137
10, 4.319926500320435, 148
11, 4.751919150352478, 151
12, 5.1839118003845215, 176
13, 5.615904450416565, 162
14, 6.047897100448608, 179
15, 6.479889750480652, 178
16, 6.911882400512695, 162
17, 7.343875050544739, 184
18, 7.775867700576782, 151
19, 8.207860350608826, 160
20, 8.63985300064087, 166
21, 9.071845650672913, 177
22, 9.503838300704956, 178
23, 9.935830950737, 158
24, 10.367823600769043, 143
25, 10.799816250801086, 157
26, 11.23180890083313, 158
27, 11.663801550865173, 146
28, 12.095794200897217, 142
29, 12.52778685092926, 165
30, 12.959779500961304, 167
31, 13.391772150993347, 163
32, 13.82376480102539, 156
33, 14.255757451057434, 178
34, 14.687750101089478, 177
35, 15.119742751121521, 169
36, 15.551735401153564, 154
37, 15.983728051185608, 178
38, 16.41572070121765, 164
39, 16.847713351249695, 165
40, 17.27970600128174, 171
41, 17.71169865131378, 167
42, 18.143691301345825, 170
43, 18.57568395137787, 178
44, 19.007676601409912, 155
45, 19.439669251441956, 149
46, 19.871661901474, 181
47, 20.303654551506042, 181
48, 20.735647201538086, 202
49, 21.16763985157013, 169
50, 21.599632501602173, 204
51, 22.031625151634216, 197
52, 22.46361780166626, 173
53, 22.895610451698303, 166
54, 23.327603101730347, 182
55, 23.75959575176239, 172
56, 24.191588401794434, 164
57, 24.623581051826477, 197
58, 25.05557370185852, 198
59, 25.487566351890564, 200
60, 25.919559001922607, 165
61, 26.35155165195465, 164
62, 26.783544301986694, 182
63, 27.215536952018738, 181
64, 27.64752960205078, 196
65, 28.079522252082825, 184
66, 28.511514902114868, 185
67, 28.94350755214691, 190
68, 29.375500202178955, 158
69, 29.807492852211, 183
70, 30.239485502243042, 190
71, 30.671478152275085, 187
72, 31.10347080230713, 183
73, 31.535463452339172, 169
74, 31.967456102371216, 207
75, 32.39944875240326, 184
76, 32.8314414024353, 186
77, 33.263434052467346, 215
78, 33.69542670249939, 181
79, 34.12741935253143, 174
80, 34.55941200256348, 173
81, 34.99140465259552, 194
82, 35.42339730262756, 206
83, 35.85538995265961, 190
84, 36.28738260269165, 196
85, 36.719375252723694, 160
86, 37.15136790275574, 189
87, 37.58336055278778, 202
88, 38.015353202819824, 195
89, 38.44734585285187, 186
90, 38.87933850288391, 178
91, 39.311331152915955, 170
92, 39.743323802948, 202
93, 40.17531645298004, 183
94, 40.607309103012085, 185
95, 41.03930175304413, 176
96, 41.47129440307617, 173
97, 41.903287053108215, 188
98, 42.33527970314026, 169
99, 42.7672723531723, 163
100, 43.199265003204346, 199
101, 43.63125765323639, 195
102, 44.06325030326843, 197
103, 44.495242953300476, 189
104, 44.92723560333252, 205
105, 45.35922825336456, 197
106, 45.791220903396606, 212
107, 46.22321355342865, 202
108, 46.65520620346069, 214
109, 47.08719885349274, 227
110, 47.51919150352478, 232
111, 47.951184153556824, 197
112, 48.38317680358887, 229
113, 48.81516945362091, 234
114, 49.247162103652954, 220
115, 49.679154753685, 225
