Channel, Energy (keV), Counts
1, 0.43199265003204346, 0
2, 0.8639853000640869, 0
3, 1.2959779500961304, 0
4, 1.7279706001281738, 0
5, 2.1599632501602173, 0
6, 2.5919559001922607, 0
7, 3.023948550224304, 4
8, 3.4559412002563477, 53
9, 3.887933850288391, 50
10, 4.319926500320435, 77
11, 4.751919150352478, 71
12, 5.1839118003845215, 81
13, 5.615904450416565, 84
14, 6.047897100448608, 67
15, 6.479889750480652, 81
16, 6.911882400512695, 66
17, 7.343875050544739, 77
18, 7.775867700576782, 73
19, 8.207860350608826, 80
20, 8.63985300064087, 77
21, 9.071845650672913, 69
22, 9.503838300704956, 75
23, 9.935830950737, 57
24, 10.367823600769043, 65
25, 10.799816250801086, 71
26, 11.23180890083313, 70
27, 11.663801550865173, 70
28, 12.095794200897217, 74
29, 12.52778685092926, 76
30, 12.959779500961304, 67
31, 13.391772150993347, 79
32, 13.82376480102539, 73
33, 14.255757451057434, 82
34, 14.687750101089478, 76
35, 15.119742751121521, 71
36, 15.551735401153564, 67
37, 15.983728051185608, 80
38, 16.41572070121765, 73
39, 16.847713351249695, 82
40, 17.27970600128174, 78
41, 17.71169865131378, 70
42, 18.143691301345825, 72
43, 18.57568395137787, 86
44, 19.007676601409912, 86
45, 19.439669251441956, 79
46, 19.871661901474, 60
47, 20.303654551506042, 73
48, 20.735647201538086, 82
49, 21.16763985157013, 83
50, 21.599632501602173, 67
51, 22.031625151634216, 76
52, 22.46361780166626, 64
53, 22.895610451698303, 70
54, 23.327603101730347, 71
55, 23.75959575176239, 57
56, 24.191588401794434, 80
57, 24.623581051826477, 78
58, 25.05557370185852, 71
59, 25.487566351890564, 70
60, 25.919559001922607, 68
61, 26.35155165195465, 66
62, 26.783544301986694, 77
63, 27.215536952018738, 70
64, 27.64752960205078, 76
65, 28.079522252082825, 69
66, 28.511514902114868, 77
67, 28.94350755214691, 75
68, 29.375500202178955, 111
69, 29.807492852211, 78
70, 30.239485502243042, 79
71, 30.671478152275085, 63
72, 31.10347080230713, 83
73, 31.535463452339172, 91
74, 31.967456102371216, 78
75, 32.39944875240326, 94
76, 32.8314414024353, 68
77, 33.263434052467346, 71
78, 33.69542670249939, 81
79, 34.12741935253143, 78
80, 34.55941200256348, 88
81, 34.99140465259552, 106
82, 35.42339730262756, 70
83, 35.85538995265961, 75
84, 36.28738260269165, 86
85, 36.719375252723694, 73
86, 37.15136790275574, 80
87, 37.58336055278778, 85
88, 38.015353202819824, 79
89, 38.44734585285187, 97
90, 38.87933850288391, 63
91, 39.311331152915955, 71
92, 39.743323802948, 94
93, 40.17531645298004, 85
94, 40.607309103012085, 70
95, 41.03930175304413, 81
96, 41.47129440307617, 84
97, 41.903287053108215, 76
98, 42.33527970314026, 103
99, 42.7672723531723, 85
100, 43.199265003204346, 94
101, 43.63125765323639, 91
102, 44.06325030326843, 95
103, 44.495242953300476, 78
104, 44.92723560333252, 97
105, 45.35922825336456, 99
106, 45.791220903396606, 125
107, 46.22321355342865, 102
108, 46.65520620346069, 103
109, 47.08719885349274, 114
110, 47.51919150352478, 79
111, 47.951184153556824, 110
112, 48.38317680358887, 104
113, 48.81516945362091, 98
114, 49.247162103652954, 88
115, 49.679154753685, 90
116, 50.11114740371704, 89
117, 50.543140053749084, 96
118, 50.97513270378113, 107
119, 51.40712535381317, 102
120, 51.839118003845215, 100
121, 52.27111065387726, 92
122, 52.7031033039093, 94
123, 53.135095953941345, 107
