N,Absolute date/time,Input_A [V],Input_B [V]
1,31.10.2023 09:42:57.466,0.831,0.057
2,31.10.2023 09:42:57.4665,0.845,0.084
3,31.10.2023 09:42:57.467,0.859,0.07
4,31.10.2023 09:42:57.4675,0.87,0.021
5,31.10.2023 09:42:57.468,0.88,0.018
6,31.10.2023 09:42:57.4685,0.894,0.161
7,31.10.2023 09:42:57.469,0.905,0.278
8,31.10.2023 09:42:57.4695,0.913,0.255
9,31.10.2023 09:42:57.47,0.932,0.229
10,31.10.2023 09:42:57.4705,0.943,0.275
11,31.10.2023 09:42:57.471,0.956,0.193
12,31.10.2023 09:42:57.4715,0.967,0.173
13,31.10.2023 09:42:57.472,0.981,0.099
14,31.10.2023 09:42:57.4725,0.031,-0.645
15,31.10.2023 09:42:57.473,6.00E-03,-0.647
16,31.10.2023 09:42:57.4735,0.01,-0.646
17,31.10.2023 09:42:57.474,6.00E-03,-0.649
18,31.10.2023 09:42:57.4745,0.01,-0.655
19,31.10.2023 09:42:57.475,7.00E-03,-0.644
20,31.10.2023 09:42:57.4755,5.00E-03,-0.649
21,31.10.2023 09:42:57.476,0.012,-0.642
22,31.10.2023 09:42:57.4765,7.00E-03,-0.649
23,31.10.2023 09:42:57.477,6.00E-03,-0.649
24,31.10.2023 09:42:57.4775,6.00E-03,-0.649
25,31.10.2023 09:42:57.478,8.00E-03,-0.65
26,31.10.2023 09:42:57.4785,6.00E-03,-0.647
27,31.10.2023 09:42:57.479,6.00E-03,-0.65
28,31.10.2023 09:42:57.4795,8.00E-03,-0.65
29,31.10.2023 09:42:57.48,6.00E-03,-0.649
30,31.10.2023 09:42:57.4805,6.00E-03,-0.652
31,31.10.2023 09:42:57.481,7.00E-03,-0.646
32,31.10.2023 09:42:57.4815,6.00E-03,-0.65
33,31.10.2023 09:42:57.482,0.011,-0.649
34,31.10.2023 09:42:57.4825,7.00E-03,-0.649
35,31.10.2023 09:42:57.483,0.013,-0.064
36,31.10.2023 09:42:57.4835,0.026,0.147
37,31.10.2023 09:42:57.484,0.038,-0.033
38,31.10.2023 09:42:57.4845,0.053,-0.275
39,31.10.2023 09:42:57.485,0.062,-0.363
40,31.10.2023 09:42:57.4855,0.074,-0.338
41,31.10.2023 09:42:57.486,0.085,-0.186
42,31.10.2023 09:42:57.4865,0.099,-0.231
43,31.10.2023 09:42:57.487,0.112,-0.24
44,31.10.2023 09:42:57.4875,0.123,-0.199
45,31.10.2023 09:42:57.488,0.14,-0.18
46,31.10.2023 09:42:57.4885,0.148,-0.024
47,31.10.2023 09:42:57.489,0.161,0.021
48,31.10.2023 09:42:57.4895,0.173,0.032
49,31.10.2023 09:42:57.49,0.185,-0.031
50,31.10.2023 09:42:57.4905,0.198,0.026
51,31.10.2023 09:42:57.491,0.211,0.04
52,31.10.2023 09:42:57.4915,0.226,-5.00E-03
