N,Absolute date/time,Input_A [V],Input_B [V]
1,31.10.2023 09:59:09.866,0.195,0.018
2,31.10.2023 09:59:09.8665,0.209,-0.064
3,31.10.2023 09:59:09.867,0.219,-0.051
4,31.10.2023 09:59:09.8675,0.234,-0.035
5,31.10.2023 09:59:09.868,0.244,0.018
6,31.10.2023 09:59:09.8685,0.259,0.058
7,31.10.2023 09:59:09.869,0.267,0.051
8,31.10.2023 09:59:09.8695,0.282,2.00E-03
9,31.10.2023 09:59:09.87,0.292,0.086
10,31.10.2023 09:59:09.8705,0.306,0.118
11,31.10.2023 09:59:09.871,0.316,0.215
12,31.10.2023 09:59:09.8715,0.33,0.234
13,31.10.2023 09:59:09.872,0.341,0.164
14,31.10.2023 09:59:09.8725,0.357,0.173
15,31.10.2023 09:59:09.873,0.366,0.144
16,31.10.2023 09:59:09.8735,0.379,0.075
17,31.10.2023 09:59:09.874,0.389,0.217
18,31.10.2023 09:59:09.8745,0.405,0.233
19,31.10.2023 09:59:09.875,0.412,0.189
20,31.10.2023 09:59:09.8755,0.427,0.154
21,31.10.2023 09:59:09.876,0.439,-0.024
22,31.10.2023 09:59:09.8765,0.452,-0.095
23,31.10.2023 09:59:09.877,0.464,-0.136
24,31.10.2023 09:59:09.8775,0.479,-0.115
25,31.10.2023 09:59:09.878,0.488,-0.091
26,31.10.2023 09:59:09.8785,0.503,-0.054
27,31.10.2023 09:59:09.879,0.511,-0.023
28,31.10.2023 09:59:09.8795,0.525,0.021
29,31.10.2023 09:59:09.88,0.534,0.011
30,31.10.2023 09:59:09.8805,0.551,0.051
31,31.10.2023 09:59:09.881,0.561,5.00E-03
32,31.10.2023 09:59:09.8815,0.574,0.44
33,31.10.2023 09:59:09.882,0.584,1.178
34,31.10.2023 09:59:09.8825,0.601,0.568
35,31.10.2023 09:59:09.883,0.611,-0.068
36,31.10.2023 09:59:09.8835,0.623,-0.223
37,31.10.2023 09:59:09.884,0.632,-0.149
38,31.10.2023 09:59:09.8845,0.646,-0.054
39,31.10.2023 09:59:09.885,0.659,-0.049
40,31.10.2023 09:59:09.8855,0.673,-0.058
41,31.10.2023 09:59:09.886,0.681,-0.223
42,31.10.2023 09:59:09.8865,0.698,-0.364
43,31.10.2023 09:59:09.887,0.704,-0.298
44,31.10.2023 09:59:09.8875,0.722,-0.275
45,31.10.2023 09:59:09.888,0.729,-0.238
46,31.10.2023 09:59:09.8885,0.744,-0.184
47,31.10.2023 09:59:09.889,0.753,-0.141
48,31.10.2023 09:59:09.8895,0.769,-0.126
49,31.10.2023 09:59:09.89,0.779,-0.083
50,31.10.2023 09:59:09.8905,0.793,0.058
51,31.10.2023 09:59:09.891,0.801,0.038
52,31.10.2023 09:59:09.8915,0.819,0.05
53,31.10.2023 09:59:09.892,0.826,0.045
54,31.10.2023 09:59:09.8925,0.842,5.00E-03
55,31.10.2023 09:59:09.893,0.85,0.02
56,31.10.2023 09:59:09.8935,0.865,0.051
57,31.10.2023 09:59:09.894,0.876,0.101
58,31.10.2023 09:59:09.8945,0.891,0.133
59,31.10.2023 09:59:09.895,0.9,0.175
60,31.10.2023 09:59:09.8955,0.916,0.076
61,31.10.2023 09:59:09.896,0.923,-0.05
62,31.10.2023 09:59:09.8965,0.941,-0.247
63,31.10.2023 09:59:09.897,0.947,-0.215
64,31.10.2023 09:59:09.8975,0.963,-0.152
65,31.10.2023 09:59:09.898,0.972,-0.132
66,31.10.2023 09:59:09.8985,0.011,-0.64
67,31.10.2023 09:59:09.899,7.00E-03,-0.644
68,31.10.2023 09:59:09.8995,0.011,-0.642
69,31.10.2023 09:59:09.9,6.00E-03,-0.642
70,31.10.2023 09:59:09.9005,0.011,-0.642
71,31.10.2023 09:59:09.901,6.00E-03,-0.642
72,31.10.2023 09:59:09.9015,0.012,-0.64
73,31.10.2023 09:59:09.902,5.00E-03,-0.641
74,31.10.2023 09:59:09.9025,0.012,-0.64
75,31.10.2023 09:59:09.903,7.00E-03,-0.641
