Start Time, Wed Oct 18 11:11:30 GMT+0200 2023
Energy calibration,  Offset: -0.05799521133303642, Slope: 0.047459252178668976, Quadratic: 0
Live Time (s), 763.9
Real Time (s), 900
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, -0.010535959154367447, 0
2, 0.03692329302430153, 0
3, 0.0843825452029705, 0
4, 0.13184179738163948, 0
5, 0.17930104956030846, 0
6, 0.22676030173897743, 0
7, 0.2742195539176464, 0
8, 0.3216788060963154, 2
9, 0.36913805827498436, 1
10, 0.41659731045365334, 0
11, 0.4640565626323223, 1
12, 0.5115158148109913, 2
13, 0.5589750669896603, 1
14, 0.6064343191683292, 1
15, 0.6538935713469982, 1
16, 0.7013528235256672, 1
17, 0.7488120757043362, 1
18, 0.7962713278830051, 1
19, 0.8437305800616741, 5
20, 0.8911898322403431, 4
21, 0.9386490844190121, 10
22, 0.986108336597681, 8
23, 1.03356758877635, 12
24, 1.081026840955019, 8
25, 1.128486093133688, 10
26, 1.175945345312357, 6
27, 1.223404597491026, 8
28, 1.270863849669695, 8
29, 1.3183231018483639, 7
30, 1.3657823540270329, 5
31, 1.4132416062057018, 9
32, 1.4607008583843708, 4
33, 1.5081601105630398, 7
34, 1.5556193627417088, 2
35, 1.6030786149203777, 2
36, 1.6505378670990467, 2
37, 1.6979971192777157, 2
38, 1.7454563714563847, 3
39, 1.7929156236350536, 2
40, 1.8403748758137226, 1
41, 1.8878341279923916, 2
42, 1.9352933801710606, 2
43, 1.9827526323497295, 1
44, 2.0302118845283985, 2
45, 2.0776711367070675, 3
46, 2.1251303888857365, 5
47, 2.1725896410644054, 4
48, 2.2200488932430744, 3
49, 2.2675081454217434, 0
50, 2.3149673976004124, 1
51, 2.3624266497790813, 4
52, 2.4098859019577503, 2
53, 2.4573451541364193, 6
54, 2.5048044063150883, 2
55, 2.5522636584937572, 1
56, 2.5997229106724262, 2
57, 2.647182162851095, 1
58, 2.694641415029764, 0
59, 2.742100667208433, 2
60, 2.789559919387102, 0
61, 2.837019171565771, 0
62, 2.88447842374444, 0
63, 2.931937675923109, 1
64, 2.979396928101778, 2
65, 3.026856180280447, 2
66, 3.074315432459116, 1
67, 3.121774684637785, 1
68, 3.169233936816454, 4
69, 3.216693188995123, 2
70, 3.264152441173792, 1
71, 3.311611693352461, 1
72, 3.35907094553113, 2
73, 3.406530197709799, 2
74, 3.453989449888468, 1
75, 3.5014487020671368, 2
