Start Time, Thu Oct 19 14:18:24 GMT+0200 2023
Energy calibration,  Offset: -0.05799521133303642, Slope: 0.047459252178668976, Quadratic: 0
Live Time (s), 62223.4
Real Time (s), 83513.02
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, -0.010535959154367447, 21
2, 0.03692329302430153, 14
3, 0.0843825452029705, 19
4, 0.13184179738163948, 33
5, 0.17930104956030846, 37
6, 0.22676030173897743, 41
7, 0.2742195539176464, 59
8, 0.3216788060963154, 86
9, 0.36913805827498436, 117
10, 0.41659731045365334, 255
11, 0.4640565626323223, 426
12, 0.5115158148109913, 562
13, 0.5589750669896603, 473
14, 0.6064343191683292, 207
15, 0.6538935713469982, 143
16, 0.7013528235256672, 228
17, 0.7488120757043362, 456
18, 0.7962713278830051, 748
19, 0.8437305800616741, 914
20, 0.8911898322403431, 928
21, 0.9386490844190121, 873
22, 0.986108336597681, 805
23, 1.03356758877635, 691
24, 1.081026840955019, 633
25, 1.128486093133688, 554
26, 1.175945345312357, 469
27, 1.223404597491026, 446
28, 1.270863849669695, 403
29, 1.3183231018483639, 380
30, 1.3657823540270329, 341
31, 1.4132416062057018, 344
32, 1.4607008583843708, 349
33, 1.5081601105630398, 350
34, 1.5556193627417088, 295
35, 1.6030786149203777, 347
36, 1.6505378670990467, 306
37, 1.6979971192777157, 299
38, 1.7454563714563847, 276
39, 1.7929156236350536, 269
40, 1.8403748758137226, 220
41, 1.8878341279923916, 209
42, 1.9352933801710606, 241
43, 1.9827526323497295, 204
44, 2.0302118845283985, 186
45, 2.0776711367070675, 131
46, 2.1251303888857365, 64
47, 2.1725896410644054, 52
48, 2.2200488932430744, 40
49, 2.2675081454217434, 26
50, 2.3149673976004124, 40
51, 2.3624266497790813, 48
52, 2.4098859019577503, 34
53, 2.4573451541364193, 43
54, 2.5048044063150883, 44
55, 2.5522636584937572, 54
56, 2.5997229106724262, 54
57, 2.647182162851095, 45
58, 2.694641415029764, 59
59, 2.742100667208433, 53
60, 2.789559919387102, 60
61, 2.837019171565771, 64
62, 2.88447842374444, 58
63, 2.931937675923109, 68
64, 2.979396928101778, 78
65, 3.026856180280447, 94
66, 3.074315432459116, 82
67, 3.121774684637785, 117
68, 3.169233936816454, 116
69, 3.216693188995123, 128
70, 3.264152441173792, 134
71, 3.311611693352461, 167
72, 3.35907094553113, 215
73, 3.406530197709799, 414
74, 3.453989449888468, 626
75, 3.5014487020671368, 992
76, 3.5489079542458057, 1550
