*number of points	10
*time per step (seconds)	10.000000
*BB' coincidence window (ns)	8.240000 +/- 0.013000
*average g(2)	0.843215
*standard dev. of g(2) (statistical and time res error)	0.227709
*expected g(2)	1.000000
*comments	U = 7 V
Step = 0.000145, fi (20 / 45 / 22.5)
L 3.7
10_37_B	10_37_B'	10_37_BB	10_37_g2
80031.000	86746.000	3.000	0.524
79908.000	85930.000	5.000	0.884
79794.000	86765.000	5.000	0.876
79999.000	86362.000	3.000	0.527
80627.000	86647.000	5.000	0.869
80365.000	86523.000	7.000	1.222
79726.000	86461.000	5.000	0.880
77222.000	85206.000	4.000	0.738
74650.000	84337.000	6.000	1.157
75718.000	84842.000	4.000	0.756

