Start Time, Wed Oct 18 10:53:05 GMT+0200 2023
Energy calibration,  Offset: -0.05799521133303642, Slope: 0.047459252178668976, Quadratic: 0
Live Time (s), 551.18
Real Time (s), 900
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, -0.010535959154367447, 1
2, 0.03692329302430153, 1
3, 0.0843825452029705, 0
4, 0.13184179738163948, 1
5, 0.17930104956030846, 0
6, 0.22676030173897743, 0
7, 0.2742195539176464, 1
8, 0.3216788060963154, 1
9, 0.36913805827498436, 0
10, 0.41659731045365334, 4
11, 0.4640565626323223, 5
12, 0.5115158148109913, 3
13, 0.5589750669896603, 1
14, 0.6064343191683292, 1
15, 0.6538935713469982, 1
16, 0.7013528235256672, 0
17, 0.7488120757043362, 0
18, 0.7962713278830051, 1
19, 0.8437305800616741, 2
20, 0.8911898322403431, 1
21, 0.9386490844190121, 3
22, 0.986108336597681, 3
23, 1.03356758877635, 6
24, 1.081026840955019, 9
25, 1.128486093133688, 7
26, 1.175945345312357, 13
27, 1.223404597491026, 9
28, 1.270863849669695, 10
29, 1.3183231018483639, 7
30, 1.3657823540270329, 12
31, 1.4132416062057018, 7
32, 1.4607008583843708, 7
33, 1.5081601105630398, 9
34, 1.5556193627417088, 7
35, 1.6030786149203777, 8
36, 1.6505378670990467, 4
37, 1.6979971192777157, 2
38, 1.7454563714563847, 2
39, 1.7929156236350536, 10
40, 1.8403748758137226, 4
41, 1.8878341279923916, 9
42, 1.9352933801710606, 4
43, 1.9827526323497295, 7
44, 2.0302118845283985, 6
45, 2.0776711367070675, 4
46, 2.1251303888857365, 7
47, 2.1725896410644054, 9
48, 2.2200488932430744, 5
49, 2.2675081454217434, 6
50, 2.3149673976004124, 11
51, 2.3624266497790813, 4
52, 2.4098859019577503, 13
53, 2.4573451541364193, 3
54, 2.5048044063150883, 8
55, 2.5522636584937572, 6
56, 2.5997229106724262, 15
57, 2.647182162851095, 7
58, 2.694641415029764, 12
59, 2.742100667208433, 8
60, 2.789559919387102, 8
61, 2.837019171565771, 4
62, 2.88447842374444, 6
63, 2.931937675923109, 2
64, 2.979396928101778, 6
65, 3.026856180280447, 8
66, 3.074315432459116, 11
67, 3.121774684637785, 2
68, 3.169233936816454, 4
69, 3.216693188995123, 2
70, 3.264152441173792, 3
71, 3.311611693352461, 0
72, 3.35907094553113, 0
73, 3.406530197709799, 2
74, 3.453989449888468, 0
75, 3.5014487020671368, 1
76, 3.5489079542458057, 1
77, 3.5963672064244747, 0
78, 3.6438264586031437, 4
79, 3.6912857107818127, 1
80, 3.7387449629604816, 4
81, 3.7862042151391506, 0
82, 3.8336634673178196, 0
83, 3.8811227194964886, 3
84, 3.9285819716751575, 3
85, 3.9760412238538265, 2
86, 4.0235004760324955, 6
87, 4.0709597282111645, 3
88, 4.1184189803898335, 2
89, 4.165878232568502, 2
90, 4.213337484747171, 3
91, 4.26079673692584, 5
92, 4.308255989104509, 1
93, 4.355715241283178, 2
94, 4.403174493461847, 4
95, 4.450633745640516, 5
96, 4.498092997819185, 2
97, 4.545552249997854, 5
98, 4.593011502176523, 9
99, 4.640470754355192, 9
100, 4.687930006533861, 5
101, 4.73538925871253, 3
102, 4.782848510891199, 8
103, 4.830307763069868, 14
104, 4.877767015248537, 8
105, 4.925226267427206, 7
106, 4.972685519605875, 17
107, 5.020144771784544, 13
108, 5.067604023963213, 15
109, 5.115063276141882, 13
110, 5.162522528320551, 17
111, 5.20998178049922, 14
112, 5.257441032677889, 11
113, 5.304900284856558, 11
114, 5.352359537035227, 20
115, 5.399818789213896, 11
116, 5.447278041392565, 16
117, 5.494737293571234, 20
118, 5.542196545749903, 14
119, 5.589655797928572, 14
120, 5.637115050107241, 19
121, 5.68457430228591, 10
122, 5.732033554464579, 18
123, 5.779492806643248, 14
124, 5.826952058821917, 22
125, 5.874411311000586, 19
126, 5.9218705631792545, 16
127, 5.9693298153579235, 16
128, 6.0167890675365925, 20
129, 6.0642483197152615, 24
130, 6.11170757189393, 25
131, 6.159166824072599, 33
132, 6.206626076251268, 37
133, 6.254085328429937, 26
134, 6.301544580608606, 32
135, 6.349003832787275, 35
136, 6.396463084965944, 44
137, 6.443922337144613, 42
138, 6.491381589323282, 30
139, 6.538840841501951, 55
140, 6.58630009368062, 39
141, 6.633759345859289, 40
142, 6.681218598037958, 30
143, 6.728677850216627, 31
144, 6.776137102395296, 37
145, 6.823596354573965, 40
146, 6.871055606752634, 35
147, 6.918514858931303, 31
148, 6.965974111109972, 45
149, 7.013433363288641, 44
150, 7.06089261546731, 28
151, 7.108351867645979, 42
152, 7.155811119824648, 29
153, 7.203270372003317, 32
154, 7.250729624181986, 35
155, 7.298188876360655, 45
156, 7.345648128539324, 31
157, 7.393107380717993, 41
158, 7.440566632896662, 43
159, 7.488025885075331, 38
160, 7.535485137254, 28
161, 7.582944389432669, 41
162, 7.630403641611338, 31
163, 7.677862893790007, 30
164, 7.725322145968676, 35
165, 7.772781398147345, 29
166, 7.820240650326014, 35
167, 7.8676999025046825, 39
168, 7.9151591546833515, 38
169, 7.9626184068620205, 36
170, 8.01007765904069, 49
171, 8.057536911219358, 41
172, 8.104996163398027, 29
173, 8.152455415576696, 29
174, 8.199914667755365, 32
175, 8.247373919934034, 33
176, 8.294833172112703, 37
177, 8.342292424291372, 42
178, 8.389751676470041, 26
179, 8.43721092864871, 32
180, 8.48467018082738, 38
181, 8.532129433006048, 35
182, 8.579588685184717, 42
183, 8.627047937363386, 42
184, 8.674507189542055, 30
185, 8.721966441720724, 36
186, 8.769425693899393, 33
187, 8.816884946078062, 36
188, 8.864344198256731, 32
189, 8.9118034504354, 28
190, 8.959262702614069, 33
191, 9.006721954792738, 35
192, 9.054181206971407, 33
193, 9.101640459150076, 37
194, 9.149099711328745, 39
195, 9.196558963507414, 31
196, 9.244018215686083, 43
197, 9.291477467864752, 31
198, 9.33893672004342, 40
199, 9.38639597222209, 33
200, 9.433855224400759, 42
201, 9.481314476579428, 36
202, 9.528773728758097, 27
203, 9.576232980936766, 43
204, 9.623692233115435, 39
205, 9.671151485294104, 44
206, 9.718610737472773, 33
207, 9.766069989651442, 29
208, 9.81352924183011, 43
209, 9.86098849400878, 26
210, 9.908447746187449, 39
211, 9.955906998366117, 27
212, 10.003366250544786, 36
213, 10.050825502723455, 39
214, 10.098284754902124, 36
215, 10.145744007080793, 36
216, 10.193203259259462, 48
217, 10.240662511438131, 31
218, 10.2881217636168, 37
219, 10.33558101579547, 37
220, 10.383040267974138, 33
221, 10.430499520152807, 42
222, 10.477958772331476, 41
223, 10.525418024510145, 32
224, 10.572877276688814, 42
225, 10.620336528867483, 41
226, 10.667795781046152, 35
227, 10.715255033224821, 33
228, 10.76271428540349, 29
229, 10.810173537582159, 38
230, 10.857632789760828, 41
231, 10.905092041939497, 34
232, 10.952551294118166, 27
233, 11.000010546296835, 36
234, 11.047469798475504, 35
235, 11.094929050654173, 23
236, 11.142388302832842, 39
237, 11.18984755501151, 42
238, 11.23730680719018, 29
239, 11.284766059368849, 35
240, 11.332225311547518, 33
241, 11.379684563726187, 41
242, 11.427143815904856, 31
243, 11.474603068083525, 44
244, 11.522062320262194, 37
245, 11.569521572440863, 26
246, 11.616980824619532, 28
247, 11.6644400767982, 36
248, 11.71189932897687, 36
249, 11.759358581155539, 36
250, 11.806817833334208, 47
251, 11.854277085512877, 45
252, 11.901736337691545, 43
253, 11.949195589870214, 34
254, 11.996654842048883, 35
255, 12.044114094227552, 47
256, 12.091573346406221, 34
257, 12.13903259858489, 45
258, 12.18649185076356, 37
259, 12.233951102942228, 40
260, 12.281410355120897, 40
261, 12.328869607299566, 41
262, 12.376328859478235, 45
263, 12.423788111656904, 33
264, 12.471247363835573, 59
265, 12.518706616014242, 38
266, 12.566165868192911, 44
267, 12.61362512037158, 45
268, 12.661084372550249, 35
269, 12.708543624728918, 50
270, 12.756002876907587, 33
271, 12.803462129086256, 38
272, 12.850921381264925, 39
273, 12.898380633443594, 51
274, 12.945839885622263, 41
275, 12.993299137800932, 41
276, 13.040758389979601, 43
277, 13.08821764215827, 35
278, 13.135676894336939, 42
279, 13.183136146515608, 42
280, 13.230595398694277, 49
281, 13.278054650872946, 41
282, 13.325513903051615, 49
283, 13.372973155230284, 39
284, 13.420432407408953, 47
285, 13.467891659587622, 35
286, 13.51535091176629, 54
287, 13.56281016394496, 46
288, 13.610269416123629, 43
289, 13.657728668302298, 35
290, 13.705187920480967, 57
291, 13.752647172659636, 55
292, 13.800106424838305, 38
293, 13.847565677016973, 38
294, 13.895024929195642, 52
295, 13.942484181374311, 42
296, 13.98994343355298, 35
297, 14.03740268573165, 52
298, 14.084861937910318, 41
299, 14.132321190088987, 41
300, 14.179780442267656, 50
301, 14.227239694446325, 49
302, 14.274698946624994, 43
303, 14.322158198803663, 41
304, 14.369617450982332, 50
305, 14.417076703161001, 48
306, 14.46453595533967, 51
307, 14.51199520751834, 37
308, 14.559454459697008, 52
309, 14.606913711875677, 50
310, 14.654372964054346, 50
311, 14.701832216233015, 37
312, 14.749291468411684, 41
313, 14.796750720590353, 46
314, 14.844209972769022, 54
315, 14.891669224947691, 45
316, 14.93912847712636, 41
317, 14.986587729305029, 34
318, 15.034046981483698, 48
319, 15.081506233662367, 51
320, 15.128965485841036, 56
321, 15.176424738019705, 51
322, 15.223883990198374, 51
323, 15.271343242377043, 29
324, 15.318802494555712, 49
325, 15.36626174673438, 43
326, 15.41372099891305, 39
327, 15.461180251091719, 47
328, 15.508639503270388, 36
329, 15.556098755449057, 52
330, 15.603558007627726, 47
331, 15.651017259806395, 44
332, 15.698476511985064, 52
333, 15.745935764163733, 41
334, 15.793395016342402, 49
335, 15.84085426852107, 45
336, 15.88831352069974, 56
337, 15.935772772878408, 49
338, 15.983232025057077, 58
339, 16.030691277235746, 61
340, 16.078150529414415, 57
341, 16.125609781593084, 58
342, 16.173069033771753, 30
343, 16.220528285950422, 35
344, 16.26798753812909, 47
345, 16.31544679030776, 39
346, 16.36290604248643, 46
347, 16.410365294665098, 52
348, 16.457824546843767, 42
349, 16.505283799022436, 44
350, 16.552743051201105, 59
351, 16.600202303379774, 43
352, 16.647661555558443, 41
353, 16.695120807737112, 47
354, 16.74258005991578, 43
355, 16.79003931209445, 42
356, 16.83749856427312, 43
357, 16.884957816451788, 37
358, 16.932417068630457, 45
359, 16.979876320809126, 42
360, 17.027335572987795, 48
361, 17.074794825166464, 37
362, 17.122254077345133, 35
363, 17.169713329523802, 44
364, 17.21717258170247, 36
365, 17.26463183388114, 35
366, 17.31209108605981, 43
367, 17.359550338238478, 34
368, 17.407009590417147, 47
369, 17.454468842595816, 43
370, 17.501928094774485, 32
371, 17.549387346953154, 49
372, 17.596846599131823, 33
373, 17.64430585131049, 37
374, 17.69176510348916, 54
375, 17.73922435566783, 33
376, 17.7866836078465, 42
377, 17.834142860025167, 42
378, 17.881602112203836, 31
379, 17.929061364382505, 40
380, 17.976520616561174, 34
381, 18.023979868739843, 48
382, 18.071439120918512, 35
383, 18.11889837309718, 42
384, 18.16635762527585, 29
385, 18.21381687745452, 41
386, 18.26127612963319, 47
387, 18.308735381811857, 38
388, 18.356194633990526, 48
389, 18.403653886169195, 38
390, 18.451113138347864, 32
391, 18.498572390526533, 42
392, 18.546031642705202, 34
393, 18.59349089488387, 37
