Channel, Energy (keV), Counts
1, -0.010535959154367447, 1
2, 0.03692329302430153, 0
3, 0.0843825452029705, 0
4, 0.13184179738163948, 0
5, 0.17930104956030846, 1
6, 0.22676030173897743, 2
7, 0.2742195539176464, 1
8, 0.3216788060963154, 0
9, 0.36913805827498436, 0
10, 0.41659731045365334, 0
11, 0.4640565626323223, 2
12, 0.5115158148109913, 0
13, 0.5589750669896603, 1
14, 0.6064343191683292, 1
15, 0.6538935713469982, 1
16, 0.7013528235256672, 0
17, 0.7488120757043362, 4
18, 0.7962713278830051, 1
19, 0.8437305800616741, 4
20, 0.8911898322403431, 15
21, 0.9386490844190121, 9
22, 0.986108336597681, 11
23, 1.03356758877635, 9
24, 1.081026840955019, 8
25, 1.128486093133688, 9
26, 1.175945345312357, 12
27, 1.223404597491026, 6
28, 1.270863849669695, 9
29, 1.3183231018483639, 9
30, 1.3657823540270329, 7
31, 1.4132416062057018, 6
32, 1.4607008583843708, 2
33, 1.5081601105630398, 2
34, 1.5556193627417088, 9
35, 1.6030786149203777, 8
36, 1.6505378670990467, 11
37, 1.6979971192777157, 5
38, 1.7454563714563847, 5
39, 1.7929156236350536, 2
40, 1.8403748758137226, 3
41, 1.8878341279923916, 2
42, 1.9352933801710606, 4
43, 1.9827526323497295, 4
44, 2.0302118845283985, 3
45, 2.0776711367070675, 3
46, 2.1251303888857365, 1
47, 2.1725896410644054, 3
48, 2.2200488932430744, 4
49, 2.2675081454217434, 4
50, 2.3149673976004124, 4
51, 2.3624266497790813, 2
52, 2.4098859019577503, 5
53, 2.4573451541364193, 2
54, 2.5048044063150883, 3
55, 2.5522636584937572, 3
56, 2.5997229106724262, 4
57, 2.647182162851095, 2
58, 2.694641415029764, 4
59, 2.742100667208433, 5
60, 2.789559919387102, 8
61, 2.837019171565771, 2
62, 2.88447842374444, 5
63, 2.931937675923109, 7
64, 2.979396928101778, 8
65, 3.026856180280447, 9
66, 3.074315432459116, 8
67, 3.121774684637785, 9
68, 3.169233936816454, 4
69, 3.216693188995123, 6
70, 3.264152441173792, 9
71, 3.311611693352461, 8
72, 3.35907094553113, 6
73, 3.406530197709799, 6
74, 3.453989449888468, 7
75, 3.5014487020671368, 8
76, 3.5489079542458057, 4
77, 3.5963672064244747, 7
78, 3.6438264586031437, 6
79, 3.6912857107818127, 11
80, 3.7387449629604816, 3
81, 3.7862042151391506, 7
82, 3.8336634673178196, 5
83, 3.8811227194964886, 6
84, 3.9285819716751575, 4
85, 3.9760412238538265, 17
86, 4.0235004760324955, 20
87, 4.0709597282111645, 23
88, 4.1184189803898335, 24
89, 4.165878232568502, 42
90, 4.213337484747171, 44
91, 4.26079673692584, 49
92, 4.308255989104509, 54
93, 4.355715241283178, 62
94, 4.403174493461847, 47
95, 4.450633745640516, 46
96, 4.498092997819185, 49
97, 4.545552249997854, 57
98, 4.593011502176523, 47
99, 4.640470754355192, 50
100, 4.687930006533861, 46
101, 4.73538925871253, 56
102, 4.782848510891199, 45
103, 4.830307763069868, 57
104, 4.877767015248537, 51
105, 4.925226267427206, 60
106, 4.972685519605875, 53
107, 5.020144771784544, 65
108, 5.067604023963213, 63
109, 5.115063276141882, 59
110, 5.162522528320551, 50
111, 5.20998178049922, 51
112, 5.257441032677889, 50
113, 5.304900284856558, 65
114, 5.352359537035227, 62
115, 5.399818789213896, 54
116, 5.447278041392565, 55
117, 5.494737293571234, 52
118, 5.542196545749903, 51
119, 5.589655797928572, 53
120, 5.637115050107241, 47
121, 5.68457430228591, 50
122, 5.732033554464579, 43
123, 5.779492806643248, 44
124, 5.826952058821917, 68
125, 5.874411311000586, 54
126, 5.9218705631792545, 44
127, 5.9693298153579235, 51
128, 6.0167890675365925, 64
129, 6.0642483197152615, 49
130, 6.11170757189393, 57
131, 6.159166824072599, 61
132, 6.206626076251268, 44
133, 6.254085328429937, 46
134, 6.301544580608606, 39
135, 6.349003832787275, 54
136, 6.396463084965944, 51
137, 6.443922337144613, 42
138, 6.491381589323282, 44
139, 6.538840841501951, 64
140, 6.58630009368062, 46
141, 6.633759345859289, 46
142, 6.681218598037958, 48
143, 6.728677850216627, 60
144, 6.776137102395296, 52
145, 6.823596354573965, 50
146, 6.871055606752634, 53
147, 6.918514858931303, 57
148, 6.965974111109972, 56
149, 7.013433363288641, 52
150, 7.06089261546731, 49
151, 7.108351867645979, 47
152, 7.155811119824648, 55
153, 7.203270372003317, 40
154, 7.250729624181986, 53
155, 7.298188876360655, 59
156, 7.345648128539324, 51
157, 7.393107380717993, 47
158, 7.440566632896662, 44
159, 7.488025885075331, 45
160, 7.535485137254, 55
161, 7.582944389432669, 41
162, 7.630403641611338, 47
163, 7.677862893790007, 45
164, 7.725322145968676, 35
165, 7.772781398147345, 50
166, 7.820240650326014, 47
167, 7.8676999025046825, 45
168, 7.9151591546833515, 42
169, 7.9626184068620205, 43
170, 8.01007765904069, 53
171, 8.057536911219358, 48
172, 8.104996163398027, 42
173, 8.152455415576696, 41
174, 8.199914667755365, 40
175, 8.247373919934034, 33
176, 8.294833172112703, 47
177, 8.342292424291372, 41
178, 8.389751676470041, 45
179, 8.43721092864871, 36
180, 8.48467018082738, 46
181, 8.532129433006048, 41
182, 8.579588685184717, 47
183, 8.627047937363386, 43
184, 8.674507189542055, 51
185, 8.721966441720724, 46
186, 8.769425693899393, 37
187, 8.816884946078062, 46
188, 8.864344198256731, 57
189, 8.9118034504354, 48
190, 8.959262702614069, 47
191, 9.006721954792738, 44
192, 9.054181206971407, 41
193, 9.101640459150076, 37
194, 9.149099711328745, 53
195, 9.196558963507414, 46
196, 9.244018215686083, 43
197, 9.291477467864752, 37
198, 9.33893672004342, 46
199, 9.38639597222209, 41
200, 9.433855224400759, 45
201, 9.481314476579428, 54
202, 9.528773728758097, 34
203, 9.576232980936766, 47
204, 9.623692233115435, 39
205, 9.671151485294104, 34
206, 9.718610737472773, 59
207, 9.766069989651442, 46
208, 9.81352924183011, 39
209, 9.86098849400878, 26
210, 9.908447746187449, 34
211, 9.955906998366117, 50
212, 10.003366250544786, 34
213, 10.050825502723455, 38
214, 10.098284754902124, 35
215, 10.145744007080793, 52
216, 10.193203259259462, 34
217, 10.240662511438131, 34
218, 10.2881217636168, 48
219, 10.33558101579547, 49
220, 10.383040267974138, 38
221, 10.430499520152807, 49
222, 10.477958772331476, 50
223, 10.525418024510145, 39
224, 10.572877276688814, 34
225, 10.620336528867483, 38
226, 10.667795781046152, 39
227, 10.715255033224821, 41
228, 10.76271428540349, 29
229, 10.810173537582159, 40
230, 10.857632789760828, 45
231, 10.905092041939497, 42
232, 10.952551294118166, 42
233, 11.000010546296835, 38
234, 11.047469798475504, 42
235, 11.094929050654173, 42
236, 11.142388302832842, 40
237, 11.18984755501151, 36
238, 11.23730680719018, 41
239, 11.284766059368849, 29
240, 11.332225311547518, 39
241, 11.379684563726187, 31
242, 11.427143815904856, 37
243, 11.474603068083525, 33
244, 11.522062320262194, 40
245, 11.569521572440863, 41
246, 11.616980824619532, 38
247, 11.6644400767982, 40
248, 11.71189932897687, 36
249, 11.759358581155539, 37
250, 11.806817833334208, 27
251, 11.854277085512877, 37
252, 11.901736337691545, 35
253, 11.949195589870214, 41
254, 11.996654842048883, 34
255, 12.044114094227552, 34
256, 12.091573346406221, 29
257, 12.13903259858489, 39
258, 12.18649185076356, 25
259, 12.233951102942228, 27
260, 12.281410355120897, 39
261, 12.328869607299566, 36
262, 12.376328859478235, 28
263, 12.423788111656904, 37
264, 12.471247363835573, 37
265, 12.518706616014242, 38
266, 12.566165868192911, 29
267, 12.61362512037158, 26
268, 12.661084372550249, 33
269, 12.708543624728918, 45
270, 12.756002876907587, 27
271, 12.803462129086256, 32
272, 12.850921381264925, 33
273, 12.898380633443594, 45
274, 12.945839885622263, 34
275, 12.993299137800932, 35
276, 13.040758389979601, 27
277, 13.08821764215827, 33
278, 13.135676894336939, 51
279, 13.183136146515608, 33
280, 13.230595398694277, 41
281, 13.278054650872946, 41
282, 13.325513903051615, 35
283, 13.372973155230284, 45
284, 13.420432407408953, 25
285, 13.467891659587622, 33
286, 13.51535091176629, 39
287, 13.56281016394496, 32
288, 13.610269416123629, 35
289, 13.657728668302298, 37
290, 13.705187920480967, 33
291, 13.752647172659636, 34
292, 13.800106424838305, 30
293, 13.847565677016973, 29
294, 13.895024929195642, 27
295, 13.942484181374311, 35
296, 13.98994343355298, 26
297, 14.03740268573165, 37
298, 14.084861937910318, 30
299, 14.132321190088987, 30
300, 14.179780442267656, 30
301, 14.227239694446325, 41
302, 14.274698946624994, 28
303, 14.322158198803663, 26
304, 14.369617450982332, 37
305, 14.417076703161001, 37
306, 14.46453595533967, 39
307, 14.51199520751834, 23
308, 14.559454459697008, 31
309, 14.606913711875677, 40
310, 14.654372964054346, 38
311, 14.701832216233015, 31
312, 14.749291468411684, 28
313, 14.796750720590353, 47
314, 14.844209972769022, 19
315, 14.891669224947691, 39
316, 14.93912847712636, 22
317, 14.986587729305029, 30
318, 15.034046981483698, 23
319, 15.081506233662367, 33
320, 15.128965485841036, 31
321, 15.176424738019705, 29
322, 15.223883990198374, 25
323, 15.271343242377043, 36
324, 15.318802494555712, 38
325, 15.36626174673438, 26
326, 15.41372099891305, 30
327, 15.461180251091719, 41
328, 15.508639503270388, 30
329, 15.556098755449057, 26
330, 15.603558007627726, 35
331, 15.651017259806395, 32
332, 15.698476511985064, 28
333, 15.745935764163733, 26
334, 15.793395016342402, 41
335, 15.84085426852107, 20
336, 15.88831352069974, 32
337, 15.935772772878408, 38
338, 15.983232025057077, 28
339, 16.030691277235746, 33
340, 16.078150529414415, 27
341, 16.125609781593084, 39
342, 16.173069033771753, 32
343, 16.220528285950422, 39
344, 16.26798753812909, 39
345, 16.31544679030776, 39
346, 16.36290604248643, 22
347, 16.410365294665098, 37
348, 16.457824546843767, 28
349, 16.505283799022436, 30
350, 16.552743051201105, 34
351, 16.600202303379774, 36
352, 16.647661555558443, 34
353, 16.695120807737112, 34
354, 16.74258005991578, 38
355, 16.79003931209445, 32
356, 16.83749856427312, 30
357, 16.884957816451788, 43
358, 16.932417068630457, 33
359, 16.979876320809126, 36
360, 17.027335572987795, 32
361, 17.074794825166464, 39
362, 17.122254077345133, 36
363, 17.169713329523802, 33
364, 17.21717258170247, 38
365, 17.26463183388114, 41
366, 17.31209108605981, 39
367, 17.359550338238478, 23
368, 17.407009590417147, 36
369, 17.454468842595816, 32
370, 17.501928094774485, 31
371, 17.549387346953154, 43
372, 17.596846599131823, 35
373, 17.64430585131049, 24
374, 17.69176510348916, 45
375, 17.73922435566783, 28
376, 17.7866836078465, 22
377, 17.834142860025167, 36
378, 17.881602112203836, 35
379, 17.929061364382505, 34
380, 17.976520616561174, 35
381, 18.023979868739843, 31
382, 18.071439120918512, 27
383, 18.11889837309718, 24
384, 18.16635762527585, 39
385, 18.21381687745452, 34
386, 18.26127612963319, 25
387, 18.308735381811857, 27
388, 18.356194633990526, 31
389, 18.403653886169195, 44
390, 18.451113138347864, 35
391, 18.498572390526533, 33
392, 18.546031642705202, 25
393, 18.59349089488387, 23
394, 18.64095014706254, 28
395, 18.68840939924121, 42
396, 18.735868651419878, 30
397, 18.783327903598547, 30
398, 18.830787155777216, 29
399, 18.878246407955885, 33
400, 18.925705660134554, 33
401, 18.973164912313223, 33
402, 19.020624164491892, 27
403, 19.06808341667056, 41
404, 19.11554266884923, 33
405, 19.1630019210279, 37
406, 19.210461173206568, 37
407, 19.257920425385237, 42
408, 19.305379677563906, 38
409, 19.352838929742575, 34
410, 19.400298181921244, 30
411, 19.447757434099913, 35
412, 19.49521668627858, 34
413, 19.54267593845725, 33
414, 19.59013519063592, 33
415, 19.63759444281459, 26
416, 19.685053694993258, 29
417, 19.732512947171926, 26
418, 19.779972199350595, 33
419, 19.827431451529264, 37
420, 19.874890703707933, 31
421, 19.922349955886602, 32
422, 19.96980920806527, 45
423, 20.01726846024394, 39
424, 20.06472771242261, 29
425, 20.11218696460128, 35
426, 20.159646216779947, 39
427, 20.207105468958616, 24
428, 20.254564721137285, 26
429, 20.302023973315954, 26
430, 20.349483225494623, 37
431, 20.396942477673292, 37
432, 20.44440172985196, 36
433, 20.49186098203063, 44
434, 20.5393202342093, 35
435, 20.586779486387968, 28
436, 20.634238738566637, 30
437, 20.681697990745306, 40
438, 20.729157242923975, 33
439, 20.776616495102644, 27
440, 20.824075747281313, 36
441, 20.871534999459982, 35
442, 20.91899425163865, 30
443, 20.96645350381732, 30
444, 21.01391275599599, 37
445, 21.061372008174658, 31
446, 21.108831260353327, 37
447, 21.156290512531996, 31
448, 21.203749764710665, 30
449, 21.251209016889334, 32
450, 21.298668269068003, 26
451, 21.34612752124667, 29
452, 21.39358677342534, 37
453, 21.44104602560401, 35
454, 21.48850527778268, 36
455, 21.535964529961348, 35
456, 21.583423782140017, 33
457, 21.630883034318686, 30
458, 21.678342286497355, 43
459, 21.725801538676023, 31
460, 21.773260790854692, 42
461, 21.82072004303336, 28
462, 21.86817929521203, 37
463, 21.9156385473907, 40
464, 21.96309779956937, 36
465, 22.010557051748037, 55
466, 22.058016303926706, 54
467, 22.105475556105375, 48
468, 22.152934808284044, 58
469, 22.200394060462713, 50
470, 22.247853312641382, 55
471, 22.29531256482005, 45
472, 22.34277181699872, 43
473, 22.39023106917739, 56
474, 22.437690321356058, 41
475, 22.485149573534727, 40
476, 22.532608825713396, 27
477, 22.580068077892065, 43
478, 22.627527330070734, 44
479, 22.674986582249403, 33
480, 22.722445834428072, 24
481, 22.76990508660674, 34
482, 22.81736433878541, 36
483, 22.86482359096408, 54
484, 22.912282843142748, 25
485, 22.959742095321417, 31
486, 23.007201347500086, 31
487, 23.054660599678755, 18
488, 23.102119851857424, 30
489, 23.149579104036093, 21
490, 23.19703835621476, 34
491, 23.24449760839343, 35
492, 23.2919568605721, 32
493, 23.33941611275077, 32
494, 23.386875364929438, 32
495, 23.434334617108107, 28
496, 23.481793869286776, 41
497, 23.529253121465445, 23
498, 23.576712373644114, 37
499, 23.624171625822783, 30
500, 23.67163087800145, 28
501, 23.71909013018012, 31
502, 23.76654938235879, 36
503, 23.81400863453746, 29
504, 23.861467886716127, 25
505, 23.908927138894796, 26
506, 23.956386391073465, 27
507, 24.003845643252134, 38
508, 24.051304895430803, 30
509, 24.098764147609472, 16
510, 24.14622339978814, 26
511, 24.19368265196681, 29
512, 24.24114190414548, 28
513, 24.288601156324148, 27
514, 24.336060408502817, 26
515, 24.383519660681486, 23
516, 24.430978912860155, 34
517, 24.478438165038824, 22
518, 24.525897417217493, 29
519, 24.573356669396162, 23
520, 24.62081592157483, 28
521, 24.6682751737535, 27
522, 24.71573442593217, 37
523, 24.763193678110838, 25
524, 24.810652930289507, 33
525, 24.858112182468176, 38
